Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
676845,1401953,724978,309106,Andhra Pradesh,199459,1202494,1711059,1839092,1401953,168441,5112,130,22/03/2021
2137627,4337021,2198899,990865,Andhra Pradesh,1012178,4315708,5327886,4337021,4337021,304361,2248,495,22/04/2021
50203,70380,20177,0,Andhra Pradesh,947,69433,70380,320527,70380,6375,1528,0,23/01/2021
251481,448490,196967,110993,Andhra Pradesh,47078,401412,559483,1025283,448490,32298,3362,42,23/02/2021
734009,1520072,785921,321417,Andhra Pradesh,221244,1298828,1841489,1950664,1520072,169174,5139,142,23/03/2021
2196954,4464620,2267153,1090159,Andhra Pradesh,1028859,4525920,5554779,4464620,4464620,286490,2187,513,23/04/2021
53272,74221,20948,0,Andhra Pradesh,1087,73134,74221,327120,74221,6922,1593,1,24/01/2021
259404,476866,217419,119461,Andhra Pradesh,53659,423207,596327,1026640,476866,33332,3398,43,24/02/2021
785181,1627231,841903,332643,Andhra Pradesh,242684,1384547,1959874,2058577,1627231,169889,5314,147,24/03/2021
2232281,4543318,2310508,1126549,Andhra Pradesh,1035362,4634505,5669867,4543318,4543318,231700,1953,529,24/04/2021
64381,89879,25497,0,Andhra Pradesh,1984,87895,89879,358894,89879,7342,1629,1,25/01/2021
270049,510185,240092,129002,Andhra Pradesh,60574,449611,639187,1026881,510185,34220,3409,44,25/02/2021
848040,1757017,908822,347161,Andhra Pradesh,267035,1489982,2104178,2189156,1757017,171282,5344,155,25/03/2021
2234361,4547972,2313082,1130670,Andhra Pradesh,1035700,4642942,5678642,4547972,4547972,84100,560,529,25/04/2021
64926,90616,25689,0,Andhra Pradesh,1995,88621,90616,375359,90616,7575,1658,1,26/01/2021
278935,535955,256973,137812,Andhra Pradesh,65196,470759,673767,991006,535955,34950,3414,47,26/02/2021
891240,1849681,958272,359882,Andhra Pradesh,286172,1563509,2209563,2283058,1849681,172357,5394,169,26/03/2021
2333503,4761686,2427613,1224397,Andhra Pradesh,1038678,4947405,5986083,4761686,4761686,261120,2046,570,26/04/2021
76840,107999,31152,0,Andhra Pradesh,3166,104833,107999,410863,107999,7913,1713,7,27/01/2021
946309,1962435,1015945,372957,Andhra Pradesh,309635,1652800,2335392,2395650,1962435,173296,5410,181,27/03/2021
2398847,4904030,2504587,1273663,Andhra Pradesh,1041050,5136643,6177693,4904030,4904030,261120,2068,596,27/04/2021
82580,117543,34950,0,Andhra Pradesh,4631,112912,117543,428934,117543,8486,1745,13,28/01/2021
278935,535955,256973,137812,Andhra Pradesh,65196,470759,673767,991007,535955,35027,3432,47,28/02/2021
950419,1970567,1019967,374542,Andhra Pradesh,311011,1659556,2345109,2403594,1970567,174209,5459,181,28/03/2021
87110,124647,37524,0,Andhra Pradesh,5812,118835,124647,446725,124647,8914,1779,13,29/01/2021
979606,2029994,1050201,377654,Andhra Pradesh,327255,1702739,2407648,2464049,2029994,174861,5492,187,29/03/2021
92814,133571,40740,0,Andhra Pradesh,7925,125646,133571,461589,133571,9514,1808,17,30/01/2021
1018514,2111636,1092925,387219,Andhra Pradesh,346721,1764915,2498855,2545810,2111636,176992,5896,197,30/03/2021
92849,133623,40757,0,Andhra Pradesh,7925,125698,133623,471321,133623,9940,1818,17,31/01/2021
1063924,2202436,1138306,396260,Andhra Pradesh,372148,1830288,2598696,2638157,2202436,180520,6289,206,31/03/2021
5098,6668,1570,0,Arunachal Pradesh,0,6668,6668,48271,6668,330,154,0,01/02/2021
12163,25903,13740,6962,Arunachal Pradesh,76,25827,32865,61953,25903,1431,208,0,01/03/2021
29527,74514,44923,22604,Arunachal Pradesh,178,74336,97118,103206,74514,4376,240,64,01/04/2021
5098,6668,1570,0,Arunachal Pradesh,0,6668,6668,48299,6668,359,165,0,02/02/2021
12569,29841,17272,7649,Arunachal Pradesh,80,29761,37490,63853,29841,1511,208,0,02/03/2021
30348,76246,45834,23055,Arunachal Pradesh,178,76068,99301,104947,76246,4446,240,64,02/04/2021
5161,6758,1597,0,Arunachal Pradesh,0,6758,6758,48443,6758,388,174,0,03/02/2021
12658,30253,17595,7684,Arunachal Pradesh,86,30167,37937,64086,30253,1667,209,0,03/03/2021
31777,79454,47613,24009,Arunachal Pradesh,178,79276,103463,108376,79454,4578,240,64,03/04/2021
5953,7785,1832,0,Arunachal Pradesh,0,7785,7785,49683,7785,423,178,0,04/02/2021
13345,33136,19791,8262,Arunachal Pradesh,111,33025,41398,65986,33136,1747,210,0,04/03/2021
32902,79783,46817,22825,Arunachal Pradesh,0,102608,102608,79783,79783,8050,53,64,04/04/2021
6597,8745,2148,0,Arunachal Pradesh,0,8745,8745,50649,8745,455,183,0,05/02/2021
14001,35734,21733,9147,Arunachal Pradesh,116,35618,44881,67876,35734,1871,212,0,05/03/2021
34315,82757,48378,23931,Arunachal Pradesh,0,106688,106688,82757,82757,12600,100,64,05/04/2021
7017,9288,2271,0,Arunachal Pradesh,0,9288,9288,51323,9288,466,183,0,06/02/2021
14530,37249,22719,9652,Arunachal Pradesh,125,37124,46901,68997,37249,1924,212,0,06/03/2021
35157,84581,49360,24583,Arunachal Pradesh,0,109164,109164,84581,84581,9200,76,64,06/04/2021
7020,9292,2272,0,Arunachal Pradesh,0,9292,9292,51384,9292,498,190,0,07/02/2021
14548,37299,22751,9661,Arunachal Pradesh,128,37171,46960,69061,37299,2081,213,0,07/03/2021
36714,88000,51221,25682,Arunachal Pradesh,0,113682,113682,88000,88000,10500,80,65,07/04/2021
7598,10438,2840,0,Arunachal Pradesh,6,10432,10438,52568,10438,510,192,0,08/02/2021
15327,39451,24124,10499,Arunachal Pradesh,141,39310,49950,70986,39451,2170,213,0,08/03/2021
39212,93106,53829,27291,Arunachal Pradesh,0,120397,120397,93106,93106,14150,113,65,08/04/2021
7601,10465,2864,0,Arunachal Pradesh,28,10437,10465,52914,10465,542,193,0,09/02/2021
15845,41027,25182,10860,Arunachal Pradesh,142,40885,51887,72202,41027,2214,213,0,09/03/2021
41500,97939,56374,28524,Arunachal Pradesh,0,126463,126463,97939,97939,13350,112,65,09/04/2021
7641,10529,2888,0,Arunachal Pradesh,28,10501,10529,53454,10529,575,196,0,10/02/2021
15898,41216,25318,10906,Arunachal Pradesh,147,41069,52122,72325,41216,2352,214,0,10/03/2021
43136,101756,58554,29546,Arunachal Pradesh,0,131302,131302,101756,101756,11700,91,66,10/04/2021
8020,11372,3352,0,Arunachal Pradesh,28,11344,11372,55048,11372,610,196,0,11/02/2021
16704,43375,26671,11548,Arunachal Pradesh,156,43219,54923,74142,43375,2476,214,0,11/03/2021
44556,104975,60353,30001,Arunachal Pradesh,0,134976,134976,104975,104975,12450,96,66,11/04/2021
8320,12173,3853,0,Arunachal Pradesh,28,12145,12173,56445,12173,652,196,0,12/02/2021
17358,45126,27768,12098,Arunachal Pradesh,156,44970,57224,75634,45126,2557,215,0,12/03/2021
48102,112551,64383,31586,Arunachal Pradesh,0,144137,144137,112551,112551,18900,145,66,12/04/2021
8719,13251,4532,456,Arunachal Pradesh,28,13223,13707,57373,13251,676,198,0,13/02/2021
17730,46109,28379,12556,Arunachal Pradesh,158,45951,58665,76475,46109,2597,215,0,13/03/2021
50907,118825,67852,33023,Arunachal Pradesh,0,151848,151848,118825,118825,17370,116,66,13/04/2021
8720,13274,4554,456,Arunachal Pradesh,28,13246,13730,57536,13274,720,198,0,14/02/2021
17740,46169,28429,12569,Arunachal Pradesh,158,46011,58738,76532,46169,2784,217,0,14/03/2021
53610,124312,70635,33700,Arunachal Pradesh,0,158012,158012,124312,124312,15350,120,67,14/04/2021
9713,15434,5721,1584,Arunachal Pradesh,28,15406,17018,59188,15434,742,199,0,15/02/2021
18743,48807,30064,13348,Arunachal Pradesh,164,48643,62155,78767,48807,2935,220,0,15/03/2021
54872,126950,72011,34210,Arunachal Pradesh,0,161160,161160,126950,126950,12050,93,67,15/04/2021
41,81,40,0,Arunachal Pradesh,0,81,81,13096,81,10,9,0,16/01/2021
9733,15546,5813,1584,Arunachal Pradesh,30,15516,17130,59576,15546,788,199,0,16/02/2021
19316,50316,31000,13923,Arunachal Pradesh,166,50150,64239,80072,50316,2981,220,0,16/03/2021
56691,130812,74054,35820,Arunachal Pradesh,0,166632,166632,130812,130812,13500,115,67,16/04/2021
108,178,70,0,Arunachal Pradesh,0,178,178,15695,178,44,30,0,17/01/2021
9733,15552,5819,1584,Arunachal Pradesh,30,15522,17136,59924,15552,857,199,0,17/02/2021
19325,50393,31068,14009,Arunachal Pradesh,166,50227,64402,80122,50393,3105,225,0,17/03/2021
58152,133947,75726,36809,Arunachal Pradesh,0,170756,170756,133947,133947,12300,96,69,17/04/2021
441,560,119,0,Arunachal Pradesh,0,560,560,28987,560,74,50,0,18/01/2021
10203,17389,7186,3032,Arunachal Pradesh,34,17355,20421,59004,17389,930,201,0,18/02/2021
20234,52937,32703,15041,Arunachal Pradesh,167,52770,67978,82368,52937,3217,225,0,18/03/2021
58820,135342,76453,37272,Arunachal Pradesh,0,172614,172614,135342,135342,8250,69,69,18/04/2021
452,574,122,0,Arunachal Pradesh,0,574,574,29353,574,77,51,0,19/01/2021
11337,19872,8535,4110,Arunachal Pradesh,35,19837,23982,62295,19872,951,202,0,19/02/2021
20941,54683,33741,15929,Arunachal Pradesh,168,54515,70612,84011,54683,3319,227,1,19/03/2021
61233,140794,79492,39493,Arunachal Pradesh,0,180287,180287,140794,140794,12950,105,69,19/04/2021
468,601,133,0,Arunachal Pradesh,0,601,601,33972,601,127,76,0,20/01/2021
11363,20018,8655,4220,Arunachal Pradesh,54,19964,24238,62360,20018,993,202,0,20/02/2021
21583,56486,34902,16500,Arunachal Pradesh,169,56317,72986,85729,56486,3367,227,1,20/03/2021
63291,145098,81737,40904,Arunachal Pradesh,0,186002,186002,145098,145098,10750,82,70,20/04/2021
852,1154,302,0,Arunachal Pradesh,0,1154,1154,39366,1154,175,104,0,21/01/2021
11363,20018,8655,4220,Arunachal Pradesh,54,19964,24238,62361,20018,1044,202,0,21/02/2021
21667,56658,34990,16520,Arunachal Pradesh,172,56486,73178,85837,56658,3536,229,1,21/03/2021
64874,148680,83736,41786,Arunachal Pradesh,0,190466,190466,148680,148680,13050,105,70,21/04/2021
1390,1818,428,0,Arunachal Pradesh,0,1818,1818,42290,1818,200,115,0,22/01/2021
11588,21550,9962,5354,Arunachal Pradesh,71,21479,26904,62362,21550,1091,202,0,22/02/2021
22663,59149,36485,17415,Arunachal Pradesh,173,58976,76564,88228,59149,3629,230,1,22/03/2021
67261,153966,86634,43477,Arunachal Pradesh,0,197443,197443,153966,153966,15600,120,71,22/04/2021
1860,2446,586,0,Arunachal Pradesh,0,2446,2446,43106,2446,208,120,0,23/01/2021
11757,22757,11000,5687,Arunachal Pradesh,73,22684,28444,62456,22757,1130,204,0,23/02/2021
