Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
26986,52241,25252,0,Punjab,0,52241,52241,223675,52241,2612,408,3,03/02/2021
55731,173112,117372,38350,Punjab,1059,172053,211462,408243,173112,10154,628,9,03/03/2021
383065,972083,588944,119791,Punjab,68028,904055,1091874,1207488,972083,89215,3421,74,03/04/2021
28384,56208,27820,0,Punjab,0,56208,56208,232873,56208,2856,418,4,04/02/2021
59458,183847,124380,40539,Punjab,1843,182004,224386,417696,183847,11050,690,9,04/03/2021
445942,1116418,670370,121556,Punjab,76834,1161140,1237974,1116418,1116418,351380,2181,106,04/04/2021
29775,60878,31099,0,Punjab,0,60878,60878,244887,60878,3030,432,4,05/02/2021
64214,197223,133000,43277,Punjab,3057,194166,240500,429512,197223,12118,733,9,05/03/2021
475777,1184561,708672,125691,Punjab,78049,1232203,1310252,1184561,1184561,408680,2626,112,05/04/2021
30545,64399,33847,0,Punjab,0,64399,64399,252928,64399,3108,432,7,06/02/2021
68345,208515,140161,45832,Punjab,4323,204192,254347,439635,208515,12974,744,9,06/03/2021
494033,1226129,731981,128042,Punjab,78889,1275282,1354171,1226129,1226129,420950,2750,115,06/04/2021
30546,64401,33848,0,Punjab,0,64401,64401,253989,64401,3277,433,7,07/02/2021
68986,209935,140940,45923,Punjab,4524,205411,255858,441135,209935,13750,753,9,07/03/2021
542169,1334736,792437,134551,Punjab,81609,1387678,1469287,1334736,1334736,395455,2774,130,07/04/2021
31912,70250,38331,0,Punjab,12,70238,70250,265945,70250,3521,439,7,08/02/2021
75225,226539,151302,49220,Punjab,6194,220345,275759,456643,226539,14791,786,12,08/03/2021
586454,1430914,844326,139949,Punjab,83179,1487684,1570863,1430914,1430914,403296,2845,134,08/04/2021
33232,75851,42612,0,Punjab,29,75822,75851,278019,75851,3684,440,7,09/02/2021
81135,242286,161139,53001,Punjab,7918,234368,295287,471354,242286,15853,819,12,09/03/2021
629552,1526823,897127,145702,Punjab,84878,1587647,1672525,1526823,1526823,412700,3029,144,09/04/2021
34122,80350,46221,0,Punjab,29,80321,80350,290180,80350,3903,442,7,10/02/2021
86285,256132,169835,56328,Punjab,9783,246349,312460,484295,256132,16804,840,12,10/03/2021
672103,1618233,945976,151307,Punjab,86894,1682646,1769540,1618233,1618233,408751,2949,154,10/04/2021
35337,85911,50566,0,Punjab,30,85881,85911,302743,85911,4127,447,8,11/02/2021
88969,262106,173124,56892,Punjab,11118,250988,318998,490124,262106,17813,858,13,11/03/2021
706288,1690799,984345,154115,Punjab,88519,1756395,1844914,1690799,1690799,358350,2716,166,11/04/2021
36282,90012,53722,0,Punjab,31,89981,90012,319809,90012,4272,448,8,12/02/2021
95243,278514,183257,61468,Punjab,12964,265550,339982,505557,278514,19078,898,14,12/03/2021
746819,1776693,1029695,161989,Punjab,90221,1848461,1938682,1776693,1776693,404550,3136,179,12/04/2021
36598,91988,55382,62,Punjab,74,91914,92050,329629,91988,4334,451,8,13/02/2021
101752,294377,192610,64804,Punjab,14772,279605,359181,520714,294377,20228,951,15,13/03/2021
773554,1835859,1062116,166491,Punjab,91248,1911102,2002350,1835859,1835859,393115,3075,189,13/04/2021
36598,91988,55382,62,Punjab,74,91914,92050,331736,91988,4457,452,8,14/02/2021
102805,296783,193963,64901,Punjab,15238,281545,361684,523014,296783,22072,1020,15,14/03/2021
807783,1907408,1099429,172918,Punjab,92673,1987653,2080326,1907408,1907408,395472,3110,196,14/04/2021
37582,96153,58562,1028,Punjab,76,96077,97181,342878,96153,4686,453,9,15/02/2021
111147,317996,206834,69032,Punjab,17570,300426,387028,543360,317996,24085,1099,15,15/03/2021
842310,1981682,1139165,183327,Punjab,94001,2071008,2165009,1981682,1981682,409005,3192,207,15/04/2021
164,336,172,0,Punjab,0,336,336,132329,336,63,55,0,16/01/2021
38531,100270,61730,1988,Punjab,76,100194,102258,353350,100270,4855,453,9,16/02/2021
120271,340327,220040,72831,Punjab,20771,319556,413158,564783,340327,26542,1174,16,16/03/2021
880538,2066797,1186042,194556,Punjab,95975,2165378,2261353,2066797,2066797,403925,3181,217,16/04/2021
166,338,172,0,Punjab,0,338,338,133417,338,141,66,0,17/01/2021
39358,103601,64234,2678,Punjab,80,103521,106279,368053,103601,5115,454,9,17/02/2021
128255,360167,231896,75622,Punjab,23899,336268,435789,583682,360167,28313,1227,16,17/03/2021
915975,2145690,1229489,206557,Punjab,109919,2242328,2352247,2145690,2145690,414150,3232,226,17/04/2021
350,678,328,0,Punjab,0,678,678,140762,678,223,92,0,18/01/2021
37890,102775,64876,4974,Punjab,85,102690,107749,357038,102775,5406,455,9,18/02/2021
138424,385522,247080,78889,Punjab,27629,357893,464411,608466,385522,31396,1384,18,18/03/2021
943855,2205031,1260945,213040,Punjab,139755,2278316,2418071,2205031,2205031,426863,3310,231,18/04/2021
770,1529,759,0,Punjab,0,1529,1529,145594,1529,286,118,0,19/01/2021
42099,113959,71851,8567,Punjab,87,113872,122526,391950,113959,5639,457,9,19/02/2021
149638,413236,263577,82169,Punjab,31835,381401,495405,636688,413236,34533,1455,21,19/03/2021
977989,2279891,1301666,227629,Punjab,170585,2336935,2507520,2279891,2279891,467821,3684,236,19/04/2021
1211,2432,1221,0,Punjab,0,2432,2432,146706,2432,398,163,0,20/01/2021
42633,116708,74066,12291,Punjab,91,116617,128999,392224,116708,5726,457,9,20/02/2021
163350,445608,282235,84762,Punjab,36451,409157,530370,668825,445608,36786,1464,23,20/03/2021
1010775,2352465,1341443,242272,Punjab,200643,2394094,2594737,2352465,2352465,482948,3783,247,20/04/2021
2346,4780,2434,0,Punjab,0,4780,4780,150770,4780,656,266,0,21/01/2021
42671,116815,74135,12695,Punjab,91,116724,129510,392287,116815,5863,457,9,21/02/2021
167566,455628,288039,85226,Punjab,37983,417645,540854,677726,455628,39638,1475,23,21/03/2021
1034135,2403286,1368903,254368,Punjab,222491,2435163,2657654,2403286,2403286,455970,3601,248,21/04/2021
4892,9676,4784,0,Punjab,0,9676,9676,157415,9676,885,319,0,22/01/2021
43730,121967,78228,18347,Punjab,118,121849,140314,392390,121967,6159,458,9,22/02/2021
180121,485030,304885,88605,Punjab,41795,443235,573635,708997,485030,41170,1504,24,22/03/2021
1054865,2448621,1393501,266324,Punjab,247670,2467275,2714945,2448621,2448621,450860,3546,255,22/04/2021
8242,16519,8277,0,Punjab,0,16519,16519,163524,16519,988,324,0,23/01/2021
44932,128224,83283,21320,Punjab,122,128102,149544,392427,128224,6398,460,9,23/02/2021
193368,516186,322794,91811,Punjab,46173,470013,607997,738025,516186,43482,1525,24,23/03/2021
1089281,2526188,1436640,285698,Punjab,260445,2551441,2811886,2526188,2526188,464015,3676,267,23/04/2021
8899,17712,8813,0,Punjab,0,17712,17712,167001,17712,1189,352,0,24/01/2021
46139,134183,88035,24449,Punjab,127,134056,158632,392483,134183,6702,462,9,24/02/2021
205161,544828,339641,94098,Punjab,49226,495602,638926,766357,544828,45570,1550,26,24/03/2021
1130127,2616660,1486258,307607,Punjab,269488,2654779,2924267,2616660,2616660,441050,3607,275,24/04/2021
13198,26017,12818,0,Punjab,0,26017,26017,176331,26017,1277,359,1,25/01/2021
48669,143306,94628,29291,Punjab,132,143174,172597,392512,143306,6952,463,9,25/02/2021
219167,577777,358580,96969,Punjab,52374,525403,674746,799039,577777,48082,1578,30,25/03/2021
1157570,2676116,1518263,318920,Punjab,271972,2723064,2995036,2676116,2676116,399500,3232,283,25/04/2021
13282,26213,12930,0,Punjab,0,26213,26213,177130,26213,1375,361,1,26/01/2021
49718,149199,99472,32494,Punjab,151,149048,181693,392393,149199,7068,463,9,26/02/2021
232522,610286,377731,98974,Punjab,55421,554865,709260,831443,610286,49702,1644,33,26/03/2021
1189325,2746637,1557024,339004,Punjab,276911,2808730,3085641,2746637,2746637,440900,3558,288,26/04/2021
16689,33121,16431,0,Punjab,0,33121,33121,184899,33121,1621,367,1,27/01/2021
251905,653571,401628,100968,Punjab,58152,595419,754539,874312,653571,51959,1714,38,27/03/2021
1203337,2779190,1575563,352240,Punjab,280330,2851100,3131430,2779190,2779190,386250,3130,290,27/04/2021
20209,39511,19300,0,Punjab,0,39511,39511,192373,39511,1835,373,2,28/01/2021
49718,149199,99472,32494,Punjab,151,149048,181693,392394,149199,7272,470,9,28/02/2021
259648,672057,412364,101509,Punjab,58879,613178,773566,892738,672057,55307,1886,45,28/03/2021
21708,42210,20500,0,Punjab,0,42210,42210,200506,42210,1952,375,2,29/01/2021
267805,690928,423078,102395,Punjab,59518,631410,793323,911158,690928,60266,2074,45,29/03/2021
23600,45648,22046,0,Punjab,0,45648,45648,206196,45648,2001,375,2,30/01/2021
287056,736460,449356,105632,Punjab,61454,675006,842092,956465,736460,65667,2356,48,30/03/2021
23636,45738,22100,0,Punjab,0,45738,45738,206875,45738,2107,375,2,31/01/2021
306084,782667,476532,109542,Punjab,62959,719708,892209,1002524,782667,74017,2823,51,31/03/2021
184170,313321,129104,0,Rajasthan,7775,305546,313321,582813,313321,6924,2622,47,01/02/2021
2371065,4938430,2566758,725111,Rajasthan,207515,4730915,5663541,5214078,4938430,152602,11053,607,01/04/2021
186913,319352,132391,0,Rajasthan,7846,311506,319352,594526,319352,7829,2737,48,02/02/2021
383880,963857,579882,250003,Rajasthan,168009,795848,1213860,1126646,963857,27612,4758,95,02/03/2021
2509850,5218729,2708243,762556,Rajasthan,210187,5008542,5981285,5499553,5218729,158003,11310,636,02/04/2021
201253,343265,141962,0,Rajasthan,8230,335035,343265,626307,343265,8356,2909,50,03/02/2021
474571,1160351,685656,263418,Rajasthan,168392,991959,1423769,1331991,1160351,32197,5222,124,03/03/2021
2633867,5468449,2833918,796850,Rajasthan,212732,5255717,6265299,5778299,5468449,162490,11452,664,03/04/2021
204608,364452,159794,0,Rajasthan,8486,355966,364452,637724,364452,8899,3100,50,04/02/2021
518483,1256310,737692,276049,Rajasthan,168611,1087699,1532359,1434235,1256310,37461,5535,135,04/03/2021
2873395,5958784,3084650,843485,Rajasthan,360390,6441879,6802269,5958784,5958784,814378,3565,739,04/04/2021
213198,392138,178890,0,Rajasthan,14621,377517,392138,654065,392138,9657,3415,50,05/02/2021
627596,1486399,858629,297090,Rajasthan,169388,1317011,1783489,1679516,1486399,44135,5659,174,05/03/2021
3026773,6257503,3229952,883341,Rajasthan,364815,6776029,7140844,6257503,6257503,985230,4365,778,05/04/2021
217712,434782,217019,0,Rajasthan,41376,393406,434782,667656,434782,9814,3450,51,06/02/2021
733943,1704633,970477,319420,Rajasthan,171194,1533439,2024053,1899022,1704633,45889,5687,213,06/03/2021
3172210,6542132,3369101,914100,Rajasthan,367699,7088533,7456232,6542132,6542132,1007765,4594,821,06/04/2021
217874,436384,218459,0,Rajasthan,41376,395008,436384,678101,436384,10307,3554,51,07/02/2021
740162,1716982,976607,320170,Rajasthan,171308,1545674,2037152,1909857,1716982,48439,5748,213,07/03/2021
3498656,7175412,3675847,973709,Rajasthan,375787,7773334,8149121,7175412,7175412,932773,4228,909,07/04/2021
220884,462139,241204,0,Rajasthan,60860,401279,462139,693584,462139,10354,3563,51,08/02/2021
821696,1888485,1066552,337125,Rajasthan,173356,1715129,2225610,2085259,1888485,50416,5807,237,08/03/2021
3812144,7767712,3954578,1034865,Rajasthan,384033,8418544,8802577,7767712,7767712,913200,4047,990,08/04/2021
221583,467360,245726,0,Rajasthan,63847,403513,467360,700896,467360,11159,3738,51,09/02/2021
844269,1937481,1092966,356673,Rajasthan,177005,1760476,2294154,2132639,1937481,53064,5877,246,09/03/2021
4020764,8164413,4142607,1078051,Rajasthan,392807,8849657,9242464,8164413,8164413,1021361,4487,1042,09/04/2021
229664,534459,304744,0,Rajasthan,104265,430194,534459,714662,534459,12011,3879,51,10/02/2021
885758,2027319,1141302,399216,Rajasthan,182956,1844363,2426535,2223859,2027319,55770,5908,259,10/03/2021
4170906,8448722,4276726,1114875,Rajasthan,406725,9156872,9563597,8448722,8448722,737480,3333,1090,10/04/2021
242271,566165,323837,0,Rajasthan,112490,453675,566165,748869,566165,12418,3925,57,11/02/2021
887004,2030306,1143043,400274,Rajasthan,183456,1846850,2430580,2226042,2030306,58753,5986,259,11/03/2021
4237808,8581755,4342828,1133804,Rajasthan,419409,9296150,9715559,8581755,8581755,755450,3314,1119,11/04/2021
244927,582386,337402,0,Rajasthan,122064,460322,582386,768946,582386,12550,3932,57,12/02/2021
959873,2181839,1221697,428852,Rajasthan,187340,1994499,2610691,2380282,2181839,64694,6066,269,12/03/2021
4329262,8758751,4428336,1165625,Rajasthan,435841,9488535,9924376,8758751,8758751,847609,3722,1153,12/04/2021
245581,585570,339932,0,Rajasthan,123301,462269,585570,782843,585570,12601,3939,57,13/02/2021
1045308,2352878,1307286,443796,Rajasthan,189151,2163727,2796674,2556346,2352878,66447,6107,284,13/03/2021
4394703,8885930,4490062,1194329,Rajasthan,443043,9637216,10080259,8885930,8885930,905490,3938,1165,13/04/2021
245599,586110,340454,0,Rajasthan,123790,462320,586110,785255,586110,12893,3962,57,14/02/2021
1050152,2362568,1312132,444118,Rajasthan,189222,2173346,2806686,2563688,2362568,70823,6333,284,14/03/2021
4451331,8996238,4543719,1227364,Rajasthan,449571,9774031,10223602,8996238,8996238,603620,2798,1188,14/04/2021
250082,603314,353175,8179,Rajasthan,127608,475706,611493,804180,603314,13144,3990,57,15/02/2021
1141015,2544415,1403093,457960,Rajasthan,190992,2353423,3002375,2752739,2544415,75979,6709,307,15/03/2021
4499024,9093355,4593132,1264332,Rajasthan,459984,9897703,10357687,9093355,9093355,843904,3907,1199,15/04/2021
1249,3285,2036,0,Rajasthan,117,3168,3285,371438,3285,185,170,0,16/01/2021
253439,612615,359118,13866,Rajasthan,128885,483730,626481,948680,612615,13994,4246,58,16/02/2021
1248695,2755659,1506631,470938,Rajasthan,192609,2563050,3226597,2966464,2755659,81758,7117,333,16/03/2021
4557254,9206593,4648129,1316093,Rajasthan,472184,10050502,10522686,9206593,9206593,833373,3843,1210,16/04/2021
1292,3455,2163,0,Rajasthan,118,3337,3455,372195,3455,461,199,0,17/01/2021
289405,732921,443457,14561,Rajasthan,157772,575149,747482,968296,732921,14076,4248,59,17/02/2021
1363754,2987238,1623123,578725,Rajasthan,196111,2791127,3565963,3203090,2987238,86035,7296,361,17/03/2021
4616890,9330653,4712539,1365602,Rajasthan,482336,10213919,10696255,9330653,9330653,525550,2501,1224,17/04/2021
1710,4037,2326,0,Rajasthan,232,3805,4037,371382,4037,744,266,1,18/01/2021
281050,717526,436418,14879,Rajasthan,158765,558761,732405,924907,717526,14748,4306,58,18/02/2021
1388117,3036442,1647956,592338,Rajasthan,197123,2839319,3628780,3250280,3036442,91397,7904,369,18/03/2021
4679435,9457932,4777265,1425240,Rajasthan,490276,10392896,10883172,9457932,9457932,862716,4009,1232,18/04/2021
5979,13022,7042,0,Rajasthan,681,12341,13022,377395,13022,838,284,1,19/01/2021
301096,772221,471062,18015,Rajasthan,165082,607139,790236,980872,772221,15124,4307,63,19/02/2021
1498518,3253100,1754179,621011,Rajasthan,198445,3054655,3874111,3490796,3253100,98614,8280,403,19/03/2021
4779687,9659550,4878583,1530556,Rajasthan,507024,10683082,11190106,9659550,9659550,1024569,4933,1280,19/04/2021
6043,13146,7102,0,Rajasthan,681,12465,13146,379578,13146,970,319,1,20/01/2021
301575,773238,471600,36825,Rajasthan,165255,607983,810063,981024,773238,15191,4307,63,20/02/2021
1616728,3480563,1863404,633239,Rajasthan,199281,3281282,4113802,3711530,3480563,103165,8516,431,20/03/2021
4863225,9828071,4963543,1622245,Rajasthan,521341,10928975,11450316,9828071,9828071,964799,4707,1303,20/04/2021
6345,13605,7259,0,Rajasthan,681,12924,13605,385118,13605,1167,364,1,21/01/2021
301576,773239,471600,36838,Rajasthan,165255,607984,810077,981067,773239,15470,4308,63,21/02/2021
1636410,3518084,1881238,634187,Rajasthan,199358,3318726,4152271,3739063,3518084,106971,8793,436,21/03/2021
4924689,9952126,5026114,1697024,Rajasthan,530945,11118205,11649150,9952126,9952126,733859,3602,1323,21/04/2021
11738,24545,12804,0,Rajasthan,951,23594,24545,398034,24545,1507,552,3,22/01/2021
301675,773521,471787,62973,Rajasthan,165282,608239,836494,981386,773521,15936,4310,59,22/02/2021
1722965,3686204,1962782,640027,Rajasthan,200140,3486064,4326231,3930902,3686204,113046,9153,457,22/03/2021
4983057,10068970,5084570,1765911,Rajasthan,547308,11287573,11834881,10068970,10068970,893013,4330,1343,22/04/2021
23961,47915,23942,0,Rajasthan,1180,46735,47915,414390,47915,2113,789,12,23/01/2021
301862,774043,472122,92142,Rajasthan,165455,608588,866185,981912,774043,16673,4311,59,23/02/2021
1848582,3924651,2075596,645172,Rajasthan,201887,3722764,4569823,4157319,3924651,117793,9620,473,23/03/2021
5035933,10178146,5140847,1831688,Rajasthan,564359,11445475,12009834,10178146,10178146,857427,4142,1366,23/04/2021
39036,74727,35678,0,Rajasthan,1651,73076,74727,429195,74727,3169,1451,13,24/01/2021
302174,774498,472265,145389,Rajasthan,165474,609024,919887,982321,774498,17213,4364,59,24/02/2021
1962256,4140029,2177281,649208,Rajasthan,202801,3937228,4789237,4377885,4140029,122978,9806,492,24/03/2021
5095715,10298265,5201166,1908851,Rajasthan,577931,11629185,12207116,10298265,10298265,588150,2988,1384,24/04/2021
81757,141245,59459,0,Rajasthan,2365,138880,141245,461895,141245,3769,1768,29,25/01/2021
305686,788094,482335,151718,Rajasthan,167268,620826,939812,982564,788094,18219,4369,73,25/02/2021
1997032,4207663,2210129,652618,Rajasthan,203356,4004307,4860281,4443877,4207663,129217,10156,502,25/03/2021
5140063,10388394,5246928,1959332,Rajasthan,586354,11761372,12347726,10388394,10388394,538980,2674,1403,25/04/2021
81899,141527,59599,0,Rajasthan,2365,139162,141527,465456,141527,4471,2087,29,26/01/2021
306532,789478,482873,220942,Rajasthan,167373,622105,1010420,942350,789478,18338,4371,73,26/02/2021
2102290,4409850,2307031,657243,Rajasthan,204215,4205635,5067093,4658717,4409850,134746,10461,529,26/03/2021
5198328,10507761,5308015,2034069,Rajasthan,595246,11946584,12541830,10507761,10507761,803097,3925,1418,26/04/2021
130513,218831,88284,0,Rajasthan,4864,213967,218831,494100,218831,5002,2233,34,27/01/2021
2198873,4592778,2393351,660361,Rajasthan,204930,4387848,5253139,4839391,4592778,136875,10533,554,27/03/2021
5232108,10578840,5345296,2081105,Rajasthan,603228,12056717,12659945,10578840,10578840,756451,3650,1436,27/04/2021
140275,239877,99567,0,Rajasthan,7030,232847,239877,513197,239877,6174,2594,35,28/01/2021
2203249,4600936,2397130,660445,Rajasthan,204930,4396006,5261381,4845660,4600936,137840,10623,557,28/03/2021
179088,302265,123136,0,Rajasthan,7775,294490,302265,544685,302265,6350,2605,41,29/01/2021
181841,307923,126035,0,Rajasthan,7775,300148,307923,560057,307923,6457,2609,47,30/01/2021
2241710,4675588,2433310,676591,Rajasthan,205437,4470151,5352179,4922692,4675588,142788,10876,568,30/03/2021
182597,309565,126921,0,Rajasthan,7775,301790,309565,572193,309565,6538,2611,47,31/01/2021
2297549,4784074,2485935,701227,Rajasthan,206224,4577850,5485301,5033946,4784074,147709,10965,590,31/03/2021
1222,1855,633,0,Sikkim,0,1855,1855,20720,1855,74,16,0,01/02/2021
28774,64671,35890,13384,Sikkim,229,64442,78055,72414,64671,2047,164,7,01/04/2021
1550,2336,786,0,Sikkim,0,2336,2336,20853,2336,99,24,0,02/02/2021
7721,18890,11169,2101,Sikkim,189,18701,20991,26588,18890,421,39,0,02/03/2021
29149,65427,36271,13408,Sikkim,230,65197,78835,72713,65427,2102,165,7,02/04/2021
2153,3084,931,0,Sikkim,0,3084,3084,21216,3084,120,26,0,03/02/2021
8238,20235,11997,2367,Sikkim,190,20045,22602,27740,20235,720,48,0,03/03/2021
29425,66027,36595,13426,Sikkim,230,65797,79453,73424,66027,2121,165,7,03/04/2021
2739,3923,1184,0,Sikkim,0,3923,3923,21773,3923,125,28,0,04/02/2021
8879,21853,12973,2769,Sikkim,194,21659,24622,29224,21853,738,48,1,04/03/2021
30260,66530,36263,12662,Sikkim,0,79192,79192,66530,66530,800,3,7,04/04/2021
3365,4857,1492,0,Sikkim,0,4857,4857,22071,4857,128,28,0,05/02/2021
9655,23624,13967,3822,Sikkim,201,23423,27446,31026,23624,880,77,2,05/03/2021
31734,69217,37475,12842,Sikkim,0,82059,82059,69217,69217,6990,38,8,05/04/2021
3532,5089,1557,0,Sikkim,0,5089,5089,22639,5089,131,30,0,06/02/2021
10295,25221,14924,4256,Sikkim,201,25020,29477,32505,25221,931,77,2,06/03/2021
33474,72723,39241,13024,Sikkim,0,85747,85747,72723,72723,9450,54,8,06/04/2021
3532,5090,1558,0,Sikkim,0,5090,5090,23232,5090,138,34,0,07/02/2021
37458,80892,43424,13534,Sikkim,0,94426,94426,80892,80892,10270,55,10,07/04/2021
4031,5726,1695,0,Sikkim,1,5725,5726,23553,5726,141,34,0,08/02/2021
11429,27834,16402,5204,Sikkim,208,27626,33038,35159,27834,1004,83,3,08/03/2021
41846,90081,48224,14392,Sikkim,0,104473,104473,90081,90081,12950,72,11,08/04/2021
4716,6653,1937,0,Sikkim,6,6647,6653,23905,6653,152,35,0,09/02/2021
12457,30116,17655,5955,Sikkim,210,29906,36071,37529,30116,1011,84,4,09/03/2021
45263,97386,52111,15028,Sikkim,0,112414,112414,97386,97386,11950,68,12,09/04/2021
5306,7478,2172,0,Sikkim,6,7472,7478,24543,7478,157,35,0,10/02/2021
13847,33298,19447,6516,Sikkim,211,33087,39814,40770,33298,1067,84,4,10/03/2021
46450,99963,53501,15238,Sikkim,0,115201,115201,99963,99963,8100,40,12,10/04/2021
5616,8022,2406,0,Sikkim,6,8016,8022,24952,8022,160,35,0,11/02/2021
15260,36259,20994,7307,Sikkim,212,36047,43566,43711,36259,1140,94,5,11/03/2021
47269,101795,54514,15376,Sikkim,0,117171,117171,101795,101795,5880,28,12,11/04/2021
5625,8041,2416,0,Sikkim,6,8035,8041,24962,8041,160,35,0,12/02/2021
16499,38860,22356,7584,Sikkim,213,38647,46444,46302,38860,1212,97,5,12/03/2021
51160,109886,58712,15945,Sikkim,0,125831,125831,109886,109886,13380,70,14,12/04/2021
16603,39116,22508,7585,Sikkim,213,38903,46701,46556,39116,1253,101,5,13/03/2021
55393,118962,63554,16493,Sikkim,0,135455,135455,118962,118962,12850,72,15,13/04/2021
57875,124532,66641,17245,Sikkim,0,141777,141777,124532,124532,12660,71,16,14/04/2021
5661,8252,2591,0,Sikkim,6,8246,8252,25044,8252,185,35,0,15/02/2021
17818,41716,23893,7858,Sikkim,218,41498,49574,49174,41716,1476,148,5,15/03/2021
60433,130118,69669,18437,Sikkim,0,148555,148555,130118,130118,13810,76,16,15/04/2021
4,7,3,0,Sikkim,0,7,7,11519,7,2,2,0,16/01/2021
5817,8849,3032,157,Sikkim,6,8843,9006,25191,8849,206,35,0,16/02/2021
18751,43718,24962,8152,Sikkim,225,43493,51870,51084,43718,1516,149,5,16/03/2021
62859,135490,72614,19751,Sikkim,0,155241,155241,135490,135490,13050,75,17,16/04/2021
4,7,3,0,Sikkim,0,7,7,11912,7,2,2,0,17/01/2021
5984,9463,3479,251,Sikkim,6,9457,9714,25520,9463,229,35,0,17/02/2021
19766,45962,26191,8546,Sikkim,225,45737,54508,53326,45962,1533,149,5,17/03/2021
64566,139394,74811,20729,Sikkim,0,160123,160123,139394,139394,9100,50,17,17/04/2021
4,7,3,0,Sikkim,0,7,7,12561,7,6,3,0,18/01/2021
5962,9981,4019,358,Sikkim,109,9872,10339,25071,9981,250,35,0,18/02/2021
20896,48233,27332,9155,Sikkim,226,48007,57388,55692,48233,1556,150,5,18/03/2021
64859,140119,75242,20939,Sikkim,0,161058,161058,140119,140119,5750,31,18,18/04/2021
24,38,14,0,Sikkim,0,38,38,16024,38,22,4,0,19/01/2021
6467,11296,4829,697,Sikkim,124,11172,11993,25727,11296,253,35,0,19/02/2021
21851,50203,28347,9698,Sikkim,226,49977,59901,57755,50203,1570,153,5,19/03/2021
66615,143952,77319,22657,Sikkim,0,166609,166609,143952,143952,12350,67,18,19/04/2021
38,62,24,0,Sikkim,0,62,62,16457,62,26,5,0,20/01/2021
6681,12222,5541,699,Sikkim,128,12094,12921,25733,12222,257,35,0,20/02/2021
22504,51619,29110,10114,Sikkim,226,51393,61733,58997,51619,1639,154,5,20/03/2021
67938,146868,78909,24255,Sikkim,0,171123,171123,146868,146868,13050,66,21,20/04/2021
114,186,72,0,Sikkim,0,186,186,18554,186,30,6,0,21/01/2021
6681,12222,5541,699,Sikkim,128,12094,12921,25776,12222,282,36,0,21/02/2021
22529,51689,29155,10121,Sikkim,226,51463,61810,59000,51689,1674,154,5,21/03/2021
68357,147787,79409,24678,Sikkim,0,172465,172465,147787,147787,8350,41,21,21/04/2021
175,296,121,0,Sikkim,0,296,296,18697,296,32,6,0,22/01/2021
23290,53294,29999,11292,Sikkim,226,53068,64586,60643,53294,1694,155,5,22/03/2021
69361,149886,80504,27276,Sikkim,0,177162,177162,149886,149886,13650,74,21,22/04/2021
177,299,122,0,Sikkim,0,299,299,19519,299,32,6,0,23/01/2021
24267,55335,31063,12180,Sikkim,226,55109,67515,62632,55335,1708,155,5,23/03/2021
70477,152278,81780,30343,Sikkim,0,182621,182621,152278,152278,12450,68,21,23/04/2021
183,309,126,0,Sikkim,0,309,309,19556,309,33,7,0,24/01/2021
25086,57067,31976,12545,Sikkim,226,56841,69612,64324,57067,1731,156,5,24/03/2021
71040,153579,82518,31870,Sikkim,0,185449,185449,153579,153579,10400,53,21,24/04/2021
291,477,186,0,Sikkim,0,477,477,19968,477,36,7,0,25/01/2021
25855,58707,32846,12794,Sikkim,226,58481,71501,65942,58707,1926,156,6,25/03/2021
71202,153939,82716,31956,Sikkim,0,185895,185895,153939,153939,4200,21,21,25/04/2021
299,490,191,0,Sikkim,0,490,490,19995,490,42,8,0,26/01/2021
7440,17647,10207,1465,Sikkim,170,17477,19112,25663,17647,343,39,0,26/02/2021
26668,60368,33694,12915,Sikkim,226,60142,73283,67591,60368,1964,156,6,26/03/2021
72026,155696,83649,34257,Sikkim,0,189953,189953,155696,155696,12000,63,21,26/04/2021
606,964,358,0,Sikkim,0,964,964,20233,964,50,10,0,27/01/2021
26679,60402,33717,12923,Sikkim,227,60175,73325,67618,60402,1967,156,6,27/03/2021
72666,157168,84481,36666,Sikkim,0,193834,193834,157168,157168,11380,62,21,27/04/2021
908,1431,523,0,Sikkim,0,1431,1431,20548,1431,55,11,0,28/01/2021
1083,1707,624,0,Sikkim,0,1707,1707,20673,1707,61,13,0,29/01/2021
1083,1707,624,0,Sikkim,0,1707,1707,20687,1707,63,13,0,30/01/2021
27030,61196,34160,13133,Sikkim,228,60968,74329,68419,61196,2006,157,6,30/03/2021
27195,61582,34381,13220,Sikkim,229,61353,74802,68786,61582,2013,157,6,31/03/2021
51872,85002,33125,0,Tamil Nadu,1606,83396,85002,368614,85002,4235,977,5,01/02/2021
1346906,2694050,1346876,260326,Tamil Nadu,388354,2305696,2954376,3220817,2694050,274124,6912,268,01/04/2021
55848,91094,35237,0,Tamil Nadu,1698,89396,91094,378666,91094,4813,1118,9,02/02/2021
177871,315543,137641,42057,Tamil Nadu,5886,309657,357600,815875,315543,33022,2635,31,02/03/2021
1379560,2760742,1380910,269771,Tamil Nadu,398720,2362022,3030513,3286890,2760742,278354,6927,272,02/04/2021
